DATA_SOURCE,Unique_Project_ID,Project_Name,Bay_Segment,Lead_Entity,Project_Activity,Project_Technology,Completion_Date,TN_Reduction_lbs_yr,ProjectLatitude,ProjectLongitude,Acres,ActualProjectCost,MAC_Notes
TBEP_APDB_1992-2016,OSS_Syn_0001,Tampa Bay Regional Surface Water Treatment Plant Expansion (Alafia River),Hillsborough Bay,Tampa Bay Water,Nonpoint_Source,Send_to_WWTP,2016,47880,28.019236,-82.21548,,,(HB mid)
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0002,Freeman Park,Old Tampa Bay,BAEAT,Habitat_Establishment,Mangroves,1993,,27.892209,-82.540301,7,NA,Al Palonis now?
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0003,Polanis Park,Old Tampa Bay,FDNR,Habitat_Establishment,Saltmarsh,1990,,27.892209,-82.540301,3.3,NA,Al Palonis now?
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0004,Mosaic Process Water Discharge - Hillsborough Bay Oyster Pilot Project,Hillsborough Bay,NOAA,Habitat_Establishment,Oyster_Habitat,2005,,27.8674,-82.4241,0.1,NA,an island in HB?
TBEP_APDB_1992-2016,OSS_Syn_0005,Lower Sweetwater Creek Stormwater Retrofits,Old Tampa Bay,Hillsborough County,Nonpoint_Source,BMP_Management,2012,17.3,27.996852,-82.561863,,,at Creek in HC
TBEP_APDB_1992-2016,OSS_Syn_0006,Bridgeway Acres Pond A Dredging,Old Tampa Bay,Pinellas County,Nonpoint_Source,BMP_Management,2012,5212.8,27.872066,-82.671488,,,at landfill PC
TBEP_APDB_1992-2016,OSS_Syn_0007,Robles Park Water Quality and Natural Systems Improvement,Hillsborough Bay,SWFWMD,Nonpoint_Source,BMP_Wetland_Treatment,2016,143,27.974273,-82.45542,,,at Robles Park
TBEP_APDB_1992-2016,OSS_Syn_0008,Plant repowering,Old Tampa Bay,Progress Energy Inc.,Nonpoint_Source,Atmospheric_Deposition,2009,15900,27.8616,-82.6008,,NA,Bartow plant
TBEP_APDB_1992-2016,OSS_Syn_0009,SWIM Phase 3 Ecosystem Restoration,Middle Tampa Bay,MacDill AFB,Habitat_Enhancement,Hydrologic_Restoration,2013,965.9,27.836204,-82.47151,,,Bay Palms Golf Complex
TBEP_APDB_1992-2016,OSS_Syn_0010,Booker Lake Alum Treatment Facility,Middle Tampa Bay,City of St. Petersburg,Nonpoint_Source,BMP_Alum_Treatment,2009,522.9,27.784186,-82.662602,,1000000,Booker Lake
TBEP_APDB_1992-2016,OSS_Syn_0011,Booker Lake Regional Stormwater Treatment Facility,Middle Tampa Bay,SWFWMD,Nonpoint_Source,BMP_Alum_Treatment,2011,NA,27.784186,-82.662602,,NA,Booker Lake
TBEP_APDB_1992-2016,OSS_Syn_0012,29th S/N Nutrient Seperating Baffle Box,Middle Tampa Bay,City of St. Petersburg,Nonpoint_Source,BMP_Baffle_Box,2010,105.8,27.782974,-82.671154,,NA,checked
TBEP_APDB_1992-2016,OSS_Syn_0013,34th Ave NE at Poplar St,Middle Tampa Bay,City of St. Petersburg,Nonpoint_Source,BMP_Baffle_Box,2018,NA,27.80308,-82.627542,,NA,checked
TBEP_APDB_1992-2016,OSS_Syn_0014,47th & Frierson Pond Project,Hillsborough Bay,City of Tampa,Nonpoint_Source,BMP_Stormwater_Pond,2011,7.4,27.99428653,-82.40599231,,125000,checked
USF_WaterAtlas_Hab_1971-2007,OSS_Syn_0015,A.J. Palonis Park Oyster Restoration,Old Tampa Bay,TBW,Habitat_Establishment,Oyster_Habitat,2003,,27.9459,-82.5421,0.41,NA,checked
